dataset,flip_percentage,tree_type,accuracy
Australian,20,CART,0.8670520231213873
Australian,30,CART,0.877906976744186
Australian,40,CART,0.8313953488372093
BreastCancer,20,CART,0.9371428571428572
BreastCancer,30,CART,0.92
BreastCancer,40,CART,0.92
Heart,20,CART,0.746268656716418
Heart,30,CART,0.7611940298507462
Heart,40,CART,0.7761194029850746
Ionosphere,20,CART,0.9080459770114944
Ionosphere,30,CART,0.8620689655172413
Ionosphere,40,CART,0.8181818181818182
MONK's,20,CART,0.8055555555555556
MONK's,30,CART,0.8055555555555556
MONK's,40,CART,0.8148148148148148
Sonar,20,CART,0.75
Sonar,30,CART,0.6730769230769231
Sonar,40,CART,0.6346153846153846
Wholesale,20,CART,0.9090909090909092
Wholesale,30,CART,0.9090909090909092
Wholesale,40,CART,0.8363636363636363
